Marque;Segment;Tranche d'age;Typologie Pat;NBV (%CA);NBV (M Euro);CA (M Euro);;;
MAAF;Euro;50-60ans;Confirme;0,033;1,5;46,2;;;
MAAF;Euro;30-40ans;Confirme;0,032;0,2;7,4;;;
MAAF;Euro;30-40ans;Potentiel;0,025;0,1;2,8;;;
MAAF;Euro;40-50ans;Potentiel;0,025;0,2;7,2;;;
MAAF;Euro;60-70ans;Confirme;0,024;1,8;76,3;;;
MAAF;Euro;50-60ans;Potentiel;0,022;0,2;11,2;;;
MAAF;Euro;40-50ans;Grand Public;0,02;0,4;21,7;;;
MAAF;Euro;50-60ans;Grand Public;0,02;0,6;30,4;;;
MAAF;Euro;30-40ans;Grand Public;0,017;0,2;14,4;;;
MAAF;Euro;60-70ans;Potentiel;0,015;0,1;8,6;;;
MAAF;Euro;60-70ans;Grand Public;0,015;0,3;23,5;;;
MAAF;Euro;0-30ans;Grand Public;0,013;0,2;15,6;;;
MAAF;Euro;70 ans et +;Confirme;0,012;1,1;86,7;;;
MAAF;Euro;0-30ans;Potentiel;0,012;0;2,2;;;
MAAF;Euro;70 ans et +;Potentiel;0,01;0,1;4,9;;;
MAAF;Euro;70 ans et +;Grand Public;0,009;0,2;17,2;;;
MMA;UC;40-50ans;Confirme;0,089;3,4;38,7;;;
MMA;UC;50-60ans;Confirme;0,088;6,8;77,1;;;
MMA;UC;30-40ans;Confirme;0,086;1,6;18,4;;;
MMA;UC;60-70ans;Confirme;0,078;7,4;95,5;;;
MMA;UC;50-60ans;Grand Public;0,077;0,4;5,4;;;
MMA;UC;40-50ans;Grand Public;0,073;0,3;3,8;;;
MMA;UC;60-70ans;Grand Public;0,071;0,4;5,2;;;
MMA;UC;0-30ans;Confirme;0,067;1,7;25,7;;;
MMA;UC;40-50ans;Potentiel;0,067;0,1;1,1;;;
MMA;UC;50-60ans;Potentiel;0,065;0,1;1;;;
MMA;UC;30-40ans;Grand Public;0,056;0,2;2,9;;;
MMA;UC;30-40ans;Potentiel;0,056;0;0,3;;;
MMA;UC;60-70ans;Potentiel;0,053;0;0,6;;;
MMA;UC;70 ans et +;Confirme;0,044;2,4;53,1;;;
MMA;UC;70 ans et +;Grand Public;0,041;0,1;2,5;;;
MMA;UC;70 ans et +;Potentiel;0,034;0;0,2;;;
MMA;Euro;40-50ans;Potentiel;0,033;0;1,2;;;
MMA;Euro;30-40ans;Potentiel;0,032;0;0,6;;;
MMA;Euro;40-50ans;Grand Public;0,031;0,4;14;;;
MMA;UC;0-30ans;Grand Public;0,031;0,1;1,9;;;
MMA;Euro;40-50ans;Confirme;0,03;1,5;49,2;;;
MMA;Euro;50-60ans;Confirme;0,029;3,5;117,6;;;
MMA;Euro;0-30ans;Confirme;0,029;2,1;71;;;
MMA;Euro;50-60ans;Grand Public;0,026;0,7;27,8;;;
MMA;Euro;30-40ans;Grand Public;0,025;0,2;7,5;;;
MMA;Euro;30-40ans;Confirme;0,025;0,6;25,6;;;
MMA;UC;0-30ans;Potentiel;0,024;0;0,2;;;
MMA;Euro;60-70ans;Confirme;0,022;4,3;194,7;;;
MMA;Euro;50-60ans;Potentiel;0,022;0,1;2,7;;;
MMA;Euro;0-30ans;Grand Public;0,019;0,2;7,8;;;
MMA;Euro;60-70ans;Grand Public;0,019;0,8;41,4;;;
MMA;Euro;60-70ans;Potentiel;0,017;0;2,2;;;
