Marque;Trage;PAT;NBV;PM;CA;%NBV;%CA_PAT;Prime;size
MMA;50-60ans;Grand Public;1127643;590415322;33201131;0,033963994;0,216153612;25844,76078;3
MMA;60-70ans;Grand Public;1130816;677767279;46576576;0,024278642;0,303233499;28757,20606;3
MMA;70 ans et +;Grand Public;448940;329992974;36000808;0,012470276;0,234380711;26302,57369;3
MMA Agents;0-30ans;Grand Public;209860;158700236;9653564;0,021739121;0,066811868;10880,39919;3
MMA Agents;30-40ans;Grand Public;349439;191858304;10286389;0,033971008;0,07119162;27403,72705;3
MMA Agents;40-50ans;Grand Public;700439;347045558;17366295;0,040333243;0,120191321;5930,051029;3
MMA Agents;50-60ans;Grand Public;1089373;553434689;30481372;0,035738975;0,210960159;25338,17789;3
MMA Agents;60-70ans;Grand Public;1087365;652500145;43956992;0,02473702;0,304224299;25294,70033;3
MMA Agents;70 ans et +;Grand Public;392894;309761416;32744149;0,011998907;0,226620733;28198,69546;3
MMA CAP;0-30ans;Grand Public;134;900013;55804;0,002401262;0,006928813;16939,57693;3
MMA CAP;30-40ans;Grand Public;246;555074;30248;0,008132769;0,003755694;3436,734536;3
MMA CAP;40-50ans;Grand Public;6391;7304677;428176;0,014926105;0,053163776;12203,47504;3
MMA CAP;50-60ans;Grand Public;37594;36578471;2694694;0,01395112;0,334582293;28984,17325;3
MMA CAP;60-70ans;Grand Public;33037;20963938;2327013;0,01419717;0,28892978;15412,46283;3
MMA CAP;70 ans et +;Grand Public;43821;14860518;2517970;0,017403305;0,312639645;22503,81745;3
DAV;0-30ans;Potentiel;109821;60291055;4344007;0,025281037;0,02758311;10469,24199;3
DAV;30-40ans;Potentiel;278462;120051747;7284919;0,038224447;0,046256999;26170,15191;3
DAV;40-50ans;Potentiel;752646;308568344;18076781;0,041636063;0,114782008;23908,11967;3
DAV;50-60ans;Potentiel;1401117;623464571;35555214;0,039406794;0,225764691;12251,78899;3
DAV;60-70ans;Potentiel;1998027;1024663084;62509005;0,031963827;0,396912986;19553,0064;3
DAV;70 ans et +;Potentiel;600590;396948024;29718005;0,020209634;0,188700206;17318,95595;3
GMF;0-30ans;Potentiel;40888;16781934;1083006;0,037754177;0,011084862;21595,07161;3
GMF;30-40ans;Potentiel;101221;45558963;2809912;0,036022836;0,028760215;24085,13995;3
GMF;40-50ans;Potentiel;252092;114276688;6503453;0,038762793;0,066564613;22006,45671;3
GMF;50-60ans;Potentiel;689901;331499151;17402648;0,03964345;0,178120844;5903,449076;3
GMF;60-70ans;Potentiel;1523861;825784483;48088622;0,031688598;0,492200149;24418,56478;3
GMF;70 ans et +;Potentiel;454771;311423210;21813715;0,020847939;0,223269317;1367,263577;3
MAAF;0-30ans;Potentiel;60755;38066933;2689533;0,022589424;0,05653094;16149,45178;3
MAAF;30-40ans;Potentiel;143701;59371432;3610594;0,039799822;0,075890599;13131,44358;3
MAAF;40-50ans;Potentiel;390351;152354297;9318033;0,041891996;0,195854507;470,8738485;3
MAAF;50-60ans;Potentiel;587549;235668723;14426657;0,040726622;0,303232002;19805,17938;3
MAAF;60-70ans;Potentiel;406224;164336369;11602436;0,035011958;0,243870073;25012,07143;3
MAAF;70 ans et +;Potentiel;125294;71443447;5929048;0,021132229;0,124621878;25777,40226;3
MMA;0-30ans;Potentiel;8178;5442188;571468;0,014310513;0,046802226;26835,39613;3
MMA;30-40ans;Potentiel;33540;15121352;864413;0,038800897;0,070793907;2791,562249;3
MMA;40-50ans;Potentiel;110203;41937359;2255295;0,048864118;0,1847047;16761,18274;3
MMA;50-60ans;Potentiel;123667;56296697;3725909;0,033191095;0,305145405;15497,74124;3
MMA;60-70ans;Potentiel;67942;34542232;2817947;0,024110461;0,230784911;23570,71965;3
MMA;70 ans et +;Potentiel;20525;14081367;1975242;0,010391132;0,161768851;10592,21969;3
MMA Agents;0-30ans;Potentiel;8178;5442188;571468;0,014310513;0,046802226;4090,354277;3
MMA Agents;30-40ans;Potentiel;33540;15121352;864413;0,038800897;0,070793907;1703,649299;3
MMA Agents;40-50ans;Potentiel;110203;41937359;2255295;0,048864118;0,1847047;7832,035027;3
MMA Agents;50-60ans;Potentiel;123667;56296697;3725909;0,033191095;0,305145405;11641,43026;3
MMA Agents;60-70ans;Potentiel;67942;34542232;2817947;0,024110461;0,230784911;28208,66387;3
MMA Agents;70 ans et +;Potentiel;20525;14081367;1975242;0,010391132;0,161768851;27780,36778;3
